default,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_employment_since,installment_as_income_perc,sex,personal_status,other_debtors,present_residence_since,property,age,other_installment_plans,housing,credits_this_bank,job,people_under_maintenance,telephone,foreign_worker
Default,no checking account,18,all credits at this bank paid back duly,car (new),6458.0,... < 100 DM,.. >= 7 years,2.0,male,single,none,4,unknown / no property,0.0,bank,own,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes
Default,0 <= ... < 200 DM,27,all credits at this bank paid back duly,car (used),5129.0,... < 100 DM,.. >= 7 years,2.0,female,divorced,none,4,unknown / no property,74.0,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes
Default,< 0 DM,0,all credits at this bank paid back duly,radio/television,3552.0,... < 100 DM,4 <= ... < 7 years,3.0,male,single,none,4,"if not A121/A122 : car or other, not in attribute 6",27.0,bank,own,1,skilled employee / official,1,none,yes
Not default,0 <= ... < 200 DM,42,all credits at this bank paid back duly,car (used),9283.0,... < 100 DM,unemployed,1.0,male,single,none,2,unknown / no property,-110.0,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes
Not default,< 0 DM,12,all credits at this bank paid back duly,retraining,339.0,... < 100 DM,.. >= 7 years,2.0068809648140693,male,married,none,1,"if not A121/A122 : car or other, not in attribute 6",45.0,bank,own,1,unskilled - resident,1,none,yes
Default,< 0 DM,36,all credits at this bank paid back duly,radio/television,2746.0,... < 100 DM,.. >= 7 years,7.68342199735619,male,single,none,4,"if not A121/A122 : car or other, not in attribute 6",0.21052631578947367,bank,own,1,skilled employee / official,1,none,yes
Default,0 <= ... < 200 DM,6,all credits at this bank paid back duly,(vacation - does not exist?),433.0,.. >= 1000 DM,... < 1 year,4.0,female,divorced,none,2,if not A121 : building society savings agreement/ life insurance,-24.0,bank,rent,1,skilled employee / official,2,none,yes
Not default,< 0 DM,24,all credits at this bank paid back duly,radio/television,2483.0,500 <= ... < 1000 DM,1 <= ... < 4 years,0.2961856825927893,male,single,none,4,real estate,22.0,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
Not default,no checking account,28,all credits at this bank paid back duly,car (used),107.17778020887987,unknown/ no savings account,... < 1 year,3.0,male,single,guarantor,4,real estate,40.0,bank,rent,2,skilled employee / official,2,"yes, registered under the customers name",yes
Not default,0 <= ... < 200 DM,10,all credits at this bank paid back duly,domestic appliances,1048.0,... < 100 DM,1 <= ... < 4 years,-0.4629631381161592,male,single,none,4,real estate,23.0,stores,own,1,unskilled - resident,1,none,yes
Default,< 0 DM,24,all credits at this bank paid back duly,car (new),1430.6375071419247,... < 100 DM,unemployed,1.0,female,divorced,co-applicant,4,unknown / no property,29.0,none,rent,2,unemployed/ unskilled - non-resident,1,none,yes
Default,< 0 DM,36,all credits at this bank paid back duly,domestic appliances,2149.0,... < 100 DM,1 <= ... < 4 years,4.0,male,divorced,none,1,unknown / no property,29.0,none,for free,1,skilled employee / official,1,none,yes
